Наименование,"Тип, марка, чертеж",Вес,Цена начальная,Цена без ндс,Цена с ндс,Наша наценка
Корпус люка тяж.Н-80,0200-0799/000000/СХР,"45,00  кг","2 877,00 ₽","3 452,40 ₽","4 142,88 ₽",
Крышка люка тяж.Н-80,0009-6777/000000/СХР,"52,00  кг","3 326,00 ₽","3 991,20 ₽","4 789,44 ₽",
Люк 207/Ф770,,"52,60  кг","3 796,00 ₽","4 555,20 ₽","5 466,24 ₽",
Корпус люка 207,0200-0821/000000/СХР,"29,60  кг","2 151,00 ₽","2 581,20 ₽","3 097,44 ₽",
Крышка люка 207,0153.590.00/770/СХР,"23,00  кг","1 645,00 ₽","1 974,00 ₽","2 368,80 ₽",
Люк магистральный,,"132,00  кг","11 735,00 ₽","14 082,00 ₽","16 898,40 ₽",
Корпус люка магист.,0009-6708/000000-01/СХР,"56,00  кг","3 582,00 ₽","4 298,40 ₽","5 158,08 ₽",
Крышка люка магист.,0200-0620/000000/СХР,"76,00  кг","8 153,00 ₽","9 783,60 ₽","11 740,32 ₽",
Люк плавающий магистральный,,"240,00  кг","19 733,00 ₽","23 679,60 ₽","28 415,52 ₽",
Корпус люка плав.магист.,0200-0699/000000/СХР,"80,00  кг","4 806,00 ₽","5 767,20 ₽","6 920,64 ₽",
Мехообработка,0200-0699/000000/СХР,"80,00  кг","979,00 ₽","1 174,80 ₽","1 409,76 ₽",
Крышка люка плав.магист.,0200-0620/000000/СХР,"76,00  кг","8 153,00 ₽","9 783,60 ₽","11 740,32 ₽",
Мехобработка,0200-0620/000000/СХР,"76,00  кг","847,00 ₽","1 016,40 ₽","1 219,68 ₽",
 Кольцо люка плав.магист.,0200-0566/000000/СХР,"84,00  кг","4 948,00 ₽","5 937,60 ₽","7 125,12 ₽",
Люк телефонный со стальной крышкой,,"85,30  кг","7 787,00 ₽","9 344,40 ₽","11 213,28 ₽",
Корпус люка телеф.со ст.крышкой,0009-6757/000001/СХР,"36,30  кг","2 323,00 ₽","2 787,60 ₽","3 345,12 ₽",
Крышка люка телеф.со ст.кр.,0009-6754/СХР,"44,00  кг","4 721,00 ₽","5 665,20 ₽","6 798,24 ₽",
Стальная крышка S=2MM люка,S1.5-2/СХР,"4,70  кг","743,00 ₽","891,60 ₽","1 069,92 ₽",
Дождеприемник ДБ-2,,"108,50  кг","11 643,00 ₽","13 971,60 ₽","16 765,92 ₽",
Корпус дождеприемн.магист.(люка),0200-0919/000000/СХР,"62,00  кг","6 653,00 ₽","7 983,60 ₽","9 580,32 ₽",
Решетка дождеприемника (люка),0200-1020/000000/СХР,"46,50  кг","4 990,00 ₽","5 988,00 ₽","7 185,60 ₽",
Люк плавающий с замков.устройст.,,"219,10  кг","17 433,00 ₽","20 919,60 ₽","25 103,52 ₽",
Корпус люка,0200-0699/000000/3/СХР,"80,00  кг","4 806,00 ₽","5 767,20 ₽","6 920,64 ₽",
