Наименование,"Тип, марка, чертеж",Вес,Цена начальная,Цена без ндс,Цена с ндс,Наша наценка
Беседка 6 гранная с решеткой Санкт-Петербург,9069-6295,"827,51  кг","174 058,00 ₽","208 869,60 ₽","250 643,52 ₽",
Беседка парковая 8 гранная,9069-6114,"1 203,00  кг","237 173,00 ₽","284 607,60 ₽","341 529,12 ₽",
"Беседка с ажурным сводом ""Барокко""",9069-6148,"4 391,00  кг","755 625,00 ₽","906 750,00 ₽","1 088 100,00 ₽",
Ваза-цветочница,9069-7211/000000,"224,30  кг","34 212,00 ₽","41 054,40 ₽","49 265,28 ₽",
Ковер газовый большой,0200-0794/000000,"37,80  кг","6 638,00 ₽","7 965,60 ₽","9 558,72 ₽",
Ковер газовый малый,0200-0793/000000,"18,35  кг","2 792,00 ₽","3 350,40 ₽","4 020,48 ₽",
Обрамление вокруг дерева,Р.1500Х1500,"200,00  кг","25 616,00 ₽","30 739,20 ₽","36 887,04 ₽",
Обрамление для дерева,0200-0902/000000 СЧ20,"180,00  кг","21 236,00 ₽","25 483,20 ₽","30 579,84 ₽",
Плита напольная,250Х250Х30,"6,73  кг","794,00 ₽","952,80 ₽","1 143,36 ₽",
Плита напольная,550Х550Х60,"46,60  кг","5 498,00 ₽","6 597,60 ₽","7 917,12 ₽",
Пушка большая,9069-6089,"1 970,00  кг","392 800,00 ₽","471 360,00 ₽","565 632,00 ₽",
Пушка малая,9069-6366,"463,00  кг","141 539,00 ₽","169 846,80 ₽","203 816,16 ₽",
Решетка для животновод ферм,534/000000,"60,00  кг","3 930,00 ₽","4 716,00 ₽","5 659,20 ₽",
Решетка для свинофермы,0009-6778,"20,00  кг","1 537,00 ₽","1 844,40 ₽","2 213,28 ₽",
"Решетка забора ""Санкт-Петербург""",900Х480,"22,00  кг","2 575,00 ₽","3 090,00 ₽","3 708,00 ₽",
"Решетка забора ""Санкт-Петербург""",9069-6113/000001,"21,30  кг","1 755,00 ₽","2 106,00 ₽","2 527,20 ₽",
Решетка забора 1080Х375Х20,9069-7095,"23,00  кг","2 097,00 ₽","2 516,40 ₽","3 019,68 ₽",
Решетка метро,0200-0684/000000,"25,50  кг","3 009,00 ₽","3 610,80 ₽","4 332,96 ₽",
"Решетка ограждения ""Кронштад""",1230Х880,"74,00  кг","13 417,00 ₽","16 100,40 ₽","19 320,48 ₽",
"Решетка ограждения ""Надзея""",610Х620,"27,00  кг","3 161,00 ₽","3 793,20 ₽","4 551,84 ₽",
"Скамья ""Голландия""",9069-7378/000000,"132,00  кг","24 702,00 ₽","29 642,40 ₽","35 570,88 ₽",
"Скамья ""Дракон""",9069-6179,"66,00  кг","9 470,00 ₽","11 364,00 ₽","13 636,80 ₽",
"Скамья ""Жемчужина""",9069-7402/000000,"117,00  кг","16 774,00 ₽","20 128,80 ₽","24 154,56 ₽",
"Скамья ""Лебедушка"" L1700мм",9069-7183/000000,"60,00  кг","10 033,00 ₽","12 039,60 ₽","14 447,52 ₽",
"Скамья ""Лебедушка"" тип 2",9069-7307/000000,"66,00  кг","11 009,00 ₽","13 210,80 ₽","15 852,96 ₽",
"Скамья ""Лира""",9069-7172/000000,"33,40  кг","5 124,00 ₽","6 148,80 ₽","7 378,56 ₽",
"Скаья ""Мишель""",9069-6568,"60,40  кг","7 947,00 ₽","9 536,40 ₽","11 443,68 ₽",
"Скамья ""Ретро"" 2700Х1020Х715",9069-6146/2,"148,30  кг","70 749,00 ₽","84 898,80 ₽","101 878,56 ₽",
"Скамья ""Столичная""",9069-7403,"120,00  кг","24 175,00 ₽","29 010,00 ₽","34 812,00 ₽",
Скамья классическая,9069-7171/000000,"41,00  кг","6 721,00 ₽","8 065,20 ₽","9 678,24 ₽",
"Скамья ""Голландия"" 2000Х910Х800",9069-6436,"126,00  кг","13 373,00 ₽","16 047,60 ₽","19 257,12 ₽",
Скамья вокруг дерева,9069-6559/000000А,"162,00  кг","65 385,00 ₽","78 462,00 ₽","94 154,40 ₽",
Скамья дачная,9069-6065/000000,"22,00  кг","3 780,00 ₽","4 536,00 ₽","5 443,20 ₽",
"Скамья парковая ""Аллея""",9069-7324/000000,"45,00  кг","10 567,00 ₽","12 680,40 ₽","15 216,48 ₽",
"Скамья парковая ""Спатканне"" тип 3",9069-7144/000000,"38,00  кг","8 633,00 ₽","10 359,60 ₽","12 431,52 ₽",
"Скамья парковая ""Кошка""",9069-7245/000000,"160,00  кг","26 092,00 ₽","31 310,40 ₽","37 572,48 ₽",
Скамья полукруг на 6-ти опорах,9069-6838,"373,00  кг","61 556,00 ₽","73 867,20 ₽","88 640,64 ₽",
Скамья с поручнями 1600Х770Х585,9069-5929,"50,60  кг","10 346,00 ₽","12 415,20 ₽","14 898,24 ₽",
Скамья 2000Х350Х640,9069-5902,"124,00  кг","18 917,00 ₽","22 700,40 ₽","27 240,48 ₽",
Скамья 2000Х590Х540,9069-6398,"146,00  кг","22 483,00 ₽","26 979,60 ₽","32 375,52 ₽",
Скамья 2000Х710Х675,9069-5874,"43,00  кг","10 278,00 ₽","12 333,60 ₽","14 800,32 ₽",
Скамья 2000Х710Х675,9069-6191,"43,00  кг","10 688,00 ₽","12 825,60 ₽","15 390,72 ₽",
Скамья 3000Х710Х675,9069-6365,"64,50  кг","15 199,00 ₽","18 238,80 ₽","21 886,56 ₽",
Столб ограждения с крючками,9069-6475/000000,"52,30  кг","14 086,00 ₽","16 903,20 ₽","20 283,84 ₽",
Торшер 2-х рожковый,9059-7109,"565,60  кг","213 064,00 ₽","255 676,80 ₽","306 812,16 ₽",
Торшер 3-х рожковый без фоноря,9069-6885,"235,90  кг","143 197,00 ₽","171 836,40 ₽","206 203,68 ₽",
Торшер однорожковый Н1720мм,9069-6425,"146,20  кг","73 826,00 ₽","88 591,20 ₽","106 309,44 ₽",
Торшер однорожковый Н2686мм,9069-6073,"240,90  кг","80 598,00 ₽","96 717,60 ₽","116 061,12 ₽",
Торшер однорожковый Н4100мм,9069-6904/000000А,"451,60  кг","167 512,00 ₽","201 014,40 ₽","241 217,28 ₽",
Торшер уличный Н1107мм,9069-6426,"124,30  кг","57 850,00 ₽","69 420,00 ₽","83 304,00 ₽",
"Торшер ""Одуванчик""",9069-7284/000000,"30,00  кг","12 677,00 ₽","15 212,40 ₽","18 254,88 ₽",
Торшер 2-х рожковый без фоноря,9069-6884А,"291,60  кг","116 003,00 ₽","139 203,60 ₽","167 044,32 ₽",
Торшер двухрожковый,9069-7283/000000,"367,80  кг","106 890,00 ₽","128 268,00 ₽","153 921,60 ₽",
Торшер однорожковый,9069-6725/000000,"113,50  кг","62 215,00 ₽","74 658,00 ₽","89 589,60 ₽",
"Торшер с плафоном ""Вашингтон""",9069-6622,"113,30  кг","68 151,00 ₽","81 781,20 ₽","98 137,44 ₽",
Указатель уличный с 1 стрелкой,9069-6029/000000,"98,95  кг","41 976,00 ₽","50 371,20 ₽","60 445,44 ₽",
Указатель уличный с 2 стрелками,9069-6029/000000-01,"114,15  кг","50 463,00 ₽","60 555,60 ₽","72 666,72 ₽",
Указатель уличный с 3 стрелками,9069-6029/000000-02,"129,35  кг","54 679,00 ₽","65 614,80 ₽","78 737,76 ₽",
Указатель уличный с 4 стрелками,9069-6029/000000-03,"114,14  кг","47 666,00 ₽","57 199,20 ₽","68 639,04 ₽",
"Урна ""Роза""",9069-7404/000000СБ,"103,60  кг","21 325,00 ₽","25 590,00 ₽","30 708,00 ₽",
Урна 630Х380,9069-5944,"92,00  кг","14 606,00 ₽","17 527,20 ₽","21 032,64 ₽",
Урна,0200-0770/000000,"55,00  кг","9 227,00 ₽","11 072,40 ₽","13 286,88 ₽",
Урна-пушка,9069-6198,"228,00  кг","42 574,00 ₽","51 088,80 ₽","61 306,56 ₽",
Фонарь (колпак Ал. большой),9069-5995,"12,09  кг","8 747,00 ₽","10 496,40 ₽","12 595,68 ₽",
Фонарь (колпак Ал. малый),9069-6165,"7,97  кг","6 145,00 ₽","7 374,00 ₽","8 848,80 ₽",
"Цветочница ""Мелодия""",9069-6014,"37,85  кг","6 914,00 ₽","8 296,80 ₽","9 956,16 ₽",
Цветочница высокая,9069-6216,"56,60  кг","13 303,00 ₽","15 963,60 ₽","19 156,32 ₽",
Элемент мостового ограждения,9069-6086,"15,50  кг","1 183,00 ₽","1 419,60 ₽","1 703,52 ₽",
